onsen_id,温泉名,地域,写真ACで検索(URL),取得状況,保存ファイル名(例),role,source_name,license,メモ
70,十津川温泉,奈良・十津川,https://www.photo-ac.com/main/search?q=%E5%8D%81%E6%B4%A5%E5%B7%9D%E6%B8%A9%E6%B3%89,未,写真AC/十津川温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
71,山空海温泉,大阪・能勢,https://www.photo-ac.com/main/search?q=%E5%B1%B1%E7%A9%BA%E6%B5%B7%E6%B8%A9%E6%B3%89,未,写真AC/山空海温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
72,湯の峰温泉,和歌山・田辺,https://www.photo-ac.com/main/search?q=%E6%B9%AF%E3%81%AE%E5%B3%B0%E6%B8%A9%E6%B3%89,未,写真AC/湯の峰温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
73,湯原温泉,岡山・真庭,https://www.photo-ac.com/main/search?q=%E6%B9%AF%E5%8E%9F%E6%B8%A9%E6%B3%89,未,写真AC/湯原温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
74,湯来温泉,広島・佐伯,https://www.photo-ac.com/main/search?q=%E6%B9%AF%E6%9D%A5%E6%B8%A9%E6%B3%89,未,写真AC/湯来温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
75,俵山温泉,山口・長門,https://www.photo-ac.com/main/search?q=%E4%BF%B5%E5%B1%B1%E6%B8%A9%E6%B3%89,未,写真AC/俵山温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
76,祖谷温泉,徳島・三好,https://www.photo-ac.com/main/search?q=%E7%A5%96%E8%B0%B7%E6%B8%A9%E6%B3%89,未,写真AC/祖谷温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
77,塩江温泉,香川・高松,https://www.photo-ac.com/main/search?q=%E5%A1%A9%E6%B1%9F%E6%B8%A9%E6%B3%89,未,写真AC/塩江温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
78,雲の上の温泉,高知・梼原,https://www.photo-ac.com/main/search?q=%E9%9B%B2%E3%81%AE%E4%B8%8A%E3%81%AE%E6%B8%A9%E6%B3%89,未,写真AC/雲の上の温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
79,原鶴温泉,福岡・朝倉,https://www.photo-ac.com/main/search?q=%E5%8E%9F%E9%B6%B4%E6%B8%A9%E6%B3%89,未,写真AC/原鶴温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
80,雲仙温泉,長崎・雲仙,https://www.photo-ac.com/main/search?q=%E9%9B%B2%E4%BB%99%E6%B8%A9%E6%B3%89,未,写真AC/雲仙温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
81,小浜温泉,長崎・雲仙,https://www.photo-ac.com/main/search?q=%E5%B0%8F%E6%B5%9C%E6%B8%A9%E6%B3%89,未,写真AC/小浜温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
